"COMID","urban","forest","wetland","agrc","shrub","turban","tforest","twetland","tagrc","tshrub"
"23099916",3.82,16.05,2.72,0,77.35,4.11,55.83,1.19,0,30.64
"23099918",3.37,36.17,1.09,0,59.05,4.09,57.61,1.14,0,28.55
"23099920",0,71.43,0,0,28.57,4.21,58.79,1.19,0,26.51
"23099922",10.14,68.27,2.67,0,18.93,4.15,58.92,1.2,0,26.33
"23099924",11.35,61.79,1.15,0,25.71,4.14,58.92,1.2,0,26.32
"23099926",2.88,50.56,1.56,0,44.19,4.07,59.06,1.21,0,26.07
"23099928",5.72,56.09,1.04,0,34.44,4.84,50.27,0.35,0,37.73
"23099930",6.74,53.6,0.56,0,31.46,4.78,50.51,0.32,0,38.05
"23099932",6.3,73.79,1.06,0,15.31,5.17,50.72,0.38,0,37.57
"23099934",4.61,48.22,0.45,0,41.34,4.61,48.22,0.45,0,41.34
"23099936",4.22,50.09,1.72,0,41.22,3.93,61.3,1.4,0,22.92
"23099938",5.2,41.89,2.17,0,29.81,3.94,61.27,1.42,0,22.63
"23099940",8.33,49.94,0.44,0,28.23,4,56.67,1.59,0,26.65
"23099942",1.9,73.02,0,0,22.54,3.19,56.22,1.89,0,27.43
"23099944",2.39,59.63,0.28,0,30.4,3.19,56.12,1.9,0,27.46
"23099946",13.33,60.83,6.67,0,14.17,3.52,54.27,2.53,0,26.72
"23099948",2.6,79.6,2.33,0,13.22,3.47,56.62,2.43,0,24.05
"23099950",0,100,0,0,0,3.82,52.37,2.6,0,26.42
"23099952",1.09,80.22,0.31,0,14.1,3.43,56.76,2.56,0,23.92
"23099954",3.58,64.04,0,0,19.87,4.26,55.33,2.95,0,24.72
"23099956",2.09,71.25,4.38,0,12.85,4.18,64.23,3.9,0,17.66
"23099958",5.88,76.47,5.88,0,0,3.88,63.5,6.3,0,18.96
"23099960",0,61.4,3.51,0,19.3,4.23,72.04,5.39,0,12.85
"23099962",4.47,72.63,5.49,0,12.49,4.47,72.63,5.49,0,12.49
"23099964",6.39,84.03,0.82,0,8.49,3.82,67.71,1.19,0,17.31
"23099966",4.64,86.62,0.78,0,6.88,3.55,66.61,1.33,0,17.09
"23099968",5.18,69.54,0.72,0,16.16,3.65,61.5,1.67,0,18.92
"23099970",8.56,65.77,0,0,21.78,3.61,62.02,1.88,0,18.54
"23099972",10.33,69.83,0,0,17.32,3.32,60.17,2.33,0,19.53
"23099974",3.48,77.73,0.12,0,14.79,3.29,57.11,2.64,0,20.87
"23099976",2.25,47.88,3.12,0,30.42,3.3,50.77,3.65,0,23.68
"23099978",2.71,49.63,5.01,0,22.66,2.76,54.74,3.65,0,22.71
"23099980",3.25,51.38,4.15,0,26.23,3.25,51.38,4.15,0,26.23
"23099982",0,2.26,4.17,7.29,86.28,3.77,38.69,0.87,0.86,49.91
"23099984",3.14,0.37,3.17,11.13,81.76,3.71,40.82,0.87,0.6,47.84
"23099986",4.96,0,2.2,4.63,87.56,3.8,43.51,0.76,0.05,45.36
"23099988",5.56,0,33.33,0,61.11,3.84,44.66,0.75,0,44.08
"23099990",3.67,14.05,12.04,0,70.23,3.82,46.06,0.76,0,42.53
"23099992",1.38,5.41,3.27,0,89.13,3.95,48.27,0.75,0,39.96
"23099994",5.29,20.38,0.67,0,73.22,4.04,49.64,0.71,0,38.32
"23099996",6.54,36.89,2.07,0,54.49,4.04,56.84,0.79,0,29.47
"23099998",9.12,73.36,3.28,0,14.23,3.49,61.56,0.6,0,23.66
"23100000",4.29,57.06,1.2,0,37.45,3.2,62.13,0.6,0,23.06
"23100002",3.5,80.47,3.79,0,12.24,2.97,63.28,0.59,0,21.4
"23100004",2.87,62.31,1.14,0,30.35,2.86,64.14,0.59,0,20.01
"23100006",16.1,69.92,6.36,0,7.63,2.82,64.79,0.51,0,17.67
"23100008",13.33,26.67,31.11,0,28.89,2.41,63.03,0.43,0,18.8
"23100010",13.36,50.43,9.91,0,24.14,2.26,64.14,0.37,0,17.3
"23100012",9.3,41.14,3.36,0,31.39,2.76,59.32,0.48,0,20.95
"23100014",3.43,68.68,0.27,0,21.46,2.25,59.02,0.33,0,21.22
"23100016",3.38,62.28,0.12,0,20.95,1.22,56.3,0.39,0,17.22
"23100018",1.39,39.08,0.15,0,20.9,1.39,39.08,0.15,0,20.9
"23100020",10.63,0,17.21,64.41,4.68,4.78,20.58,3.25,20.23,49.12
"23100022",5.62,0,14.75,37.04,36.04,4.75,20.67,3.2,20.07,49.29
"23100024",8.25,0,26.88,64.87,0,4.75,20.69,3.19,20.04,49.31
"23100026",6.07,0,17.79,13.14,57.63,4.74,20.7,3.18,20.03,49.32
"23100028",6.07,0,13.72,18.21,62.01,4.75,20.71,3.18,20.03,49.31
"23100030",0.83,0,11.48,14.39,72.43,4.75,20.72,3.17,20.03,49.31
"23100034",4.01,0,6.79,72.22,16.98,4.78,20.86,3.15,19.98,49.22
"23100038",2.11,0,16.3,81.59,0,4.8,21.46,2.97,20.07,48.69
"23100040",3.44,0,8.22,84.17,2.33,5.07,23.68,2.5,18.07,48.6
"23100042",4.17,0,23.34,70,2.5,5.08,23.75,2.49,17.88,48.74
"23100044",0,0,72.42,27.59,0,5.08,23.75,2.49,17.87,48.74
"23100046",0,0,70.59,29.41,0,5.08,23.76,2.47,17.87,48.75
"23100048",0,0,100,0,0,5.08,23.76,2.47,17.87,48.75
"23100050",2.77,0,20.2,71.09,4.53,5.08,23.76,2.46,17.87,48.75
"23100050",2.77,0,20.2,71.09,4.53,5.08,23.76,2.46,17.87,48.75
"23100052",0,0,18.85,81.15,0,5.1,23.97,2.31,17.39,49.16
"23100054",5.85,0,5.75,84.17,2.49,5.1,23.98,2.31,17.37,49.17
"23100056",2.2,0,15.2,80.07,2.53,5.19,24.68,2.33,17.54,48.15
"23100058",9.9,0,7.36,52.3,29.92,5.17,27.07,2.52,12.75,50.53
"23100060",2.42,0,9.9,86.46,0,4.95,15.41,2.63,19.31,56.44
